CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
14646,1,73,280206.02,5,5,5,555
18102,0,60,259657.3,5,5,5,555
17450,7,46,194390.79,5,5,5,555
16446,0,2,168472.5,5,3,5,535
14911,0,201,143711.17,5,5,5,555
12415,23,21,124914.53,4,5,5,455
14156,9,55,117210.08,5,5,5,555
17511,2,31,91062.38,5,5,5,555
16029,38,63,80850.84,3,5,5,355
12346,325,1,77183.6,1,2,5,125
16684,3,28,66653.56,5,5,5,555
14096,3,17,65164.79,5,5,5,555
13694,3,50,65039.62,5,5,5,555
15311,0,91,60632.75,5,5,5,555
13089,2,97,58762.08,5,5,5,555
17949,0,45,58510.48,5,5,5,555
15769,6,26,56252.72,5,5,5,555
15061,3,48,54534.14,5,5,5,555
14298,7,44,51527.3,5,5,5,555
14088,9,13,50491.81,5,5,5,555
15749,234,3,44534.3,1,4,5,145
12931,21,15,42055.96,4,5,5,455
17841,1,124,40519.84,5,5,5,555
15098,181,3,39916.5,1,4,5,145
13798,0,57,37153.85,5,5,5,555
16013,3,47,37130.6,5,5,5,555
16422,16,51,34684.4,4,5,5,455
15838,10,19,33643.08,5,5,5,555
12748,0,209,33053.19,5,5,5,555
17404,3,15,31906.82,5,5,5,555
17389,0,34,31833.68,5,5,5,555
13098,0,28,28882.44,5,5,5,555
14680,24,16,28754.11,4,5,5,455
13081,11,11,28337.38,5,5,5,555
13408,1,62,28117.04,5,5,5,555
17857,3,23,26879.04,5,5,5,555
16333,7,22,26626.8,5,5,5,555
13777,0,33,25977.16,5,5,5,555
12753,22,6,21429.39,4,5,5,455
12744,51,7,21279.29,3,5,5,355
16210,1,18,21086.3,5,5,5,555
17675,0,31,20374.28,5,5,5,555
17381,8,29,20275.61,5,5,5,555
12471,1,30,19788.65,5,5,5,555
15039,9,47,19766.59,5,5,5,555
12731,23,12,18895.91,4,5,5,455
15159,1,30,18641.01,5,5,5,555
12901,8,28,17654.54,5,5,5,555
12678,41,12,17628.46,3,5,5,355
14031,6,19,17286.86,5,5,5,555
17428,0,28,17256.85,5,5,5,555
13767,1,37,17220.36,5,5,5,555
13881,3,20,17159.52,5,5,5,555
16839,8,34,16594.35,5,5,5,555
12921,8,37,16587.09,5,5,5,555
17677,1,30,16345.38,5,5,5,555
15189,0,41,16225.39,5,5,5,555
14607,15,14,16209.5,4,5,5,455
15856,3,27,16143.64,5,5,5,555
14051,0,23,15610.39,5,5,5,555
15513,32,19,14758.22,4,5,5,455
16133,3,33,14589.04,5,5,5,555
14866,10,12,14389.9,5,5,5,555
16705,0,20,14034.99,5,5,5,555
12681,14,22,13787.54,4,5,5,455
12621,1,20,13689.67,5,5,5,555
12540,19,17,13400.24,4,5,5,455
12433,0,7,13375.87,5,5,5,555
15498,2,27,13316.4,5,5,5,555
12477,22,6,13219.74,4,5,5,455
17735,1,19,13110.02,5,5,5,555
16525,1,26,13027.45,5,5,5,555
14258,8,9,12669.98,5,5,5,555
13078,2,26,12627.94,5,5,5,555
12536,42,3,12601.83,3,4,5,345
15640,3,15,12416.11,5,5,5,555
16000,2,3,12393.7,5,4,5,545
17340,29,11,12353.29,4,5,5,455
12682,3,31,12279.82,5,5,5,555
13113,0,24,12245.96,5,5,5,555
14606,0,93,12076.15,5,5,5,555
12557,15,5,11990.96,4,4,5,445
12939,63,8,11581.8,3,5,5,355
15125,24,15,11528.48,4,5,5,455
14194,4,21,11349.52,5,5,5,555
12971,3,86,11189.91,5,5,5,555
14895,7,20,11138.71,5,5,5,555
12409,78,3,11072.67,2,4,5,245
17581,0,25,11025.24,5,5,5,555
15482,15,12,10879.76,4,5,5,455
13319,4,26,10845.55,5,5,5,555
17107,32,6,10797.48,3,5,5,355
13340,44,7,10736.48,3,5,5,355
17139,15,12,10650.77,4,5,5,455
16779,1,22,10611.72,5,5,5,555
17865,30,20,10526.32,4,5,5,455
17706,3,17,10504.49,5,5,5,555
15251,8,11,10484.99,5,5,5,555
14062,9,12,10464.85,5,5,5,555
14769,2,8,10416.98,5,5,5,555
15615,9,23,10399.74,5,5,5,555
15502,15,12,10384.93,4,5,5,455
16180,99,8,10254.18,2,5,5,255
16843,42,16,10196.57,3,5,5,355
12590,210,2,9864.26,1,3,5,135
13199,3,38,9817.12,5,5,5,555
13001,3,13,9785.97,5,5,5,555
15078,6,32,9743.11,5,5,5,555
12709,14,15,9706.52,4,5,5,455
13458,6,14,9646.57,5,5,5,555
14733,15,12,9585.91,4,5,5,455
16523,1,21,9418.47,5,5,5,555
12567,22,10,9401.28,4,5,5,455
14367,7,16,9227.82,5,5,5,555
14667,10,25,9175.04,5,5,5,555
18092,1,11,9068.26,5,5,5,555
12451,10,5,9035.52,5,4,5,545
13969,6,18,9024.17,5,5,5,555
13488,16,13,8968.31,4,5,5,455
13090,8,14,8910.82,5,5,5,555
16033,5,20,8778.82,5,5,5,555
17017,2,20,8694.26,5,5,5,555
17306,10,19,8631.31,5,5,5,555
16656,21,15,8625.8,4,5,5,455
17243,0,26,8540.05,5,5,5,555
14527,2,55,8507.13,5,5,5,555
12683,3,15,8476.57,5,5,5,555
18139,17,6,8438.34,4,5,5,455
15358,4,22,8347.2,5,5,5,555
16558,0,20,8338.49,5,5,5,555
14056,0,23,8152.71,5,5,5,555
14936,33,8,8137.02,3,5,5,355
16672,1,20,8134.94,5,5,5,555
13854,8,25,8109.52,5,5,5,555
14952,59,11,8099.49,3,5,5,355
18109,1,26,8004.92,5,5,5,555
14796,0,17,7975.49,5,5,5,555
12428,25,9,7956.46,4,5,5,455
15290,4,18,7943.22,5,5,5,555
14849,21,25,7930.54,4,5,5,455
12757,15,13,7834.65,4,5,5,455
13093,275,8,7832.47,1,5,5,155
12435,79,2,7829.89,2,3,5,235
13629,22,11,7792.36,4,5,5,455
17811,3,39,7761.82,5,5,5,555
15044,18,17,7634.73,4,5,5,455
15194,2,15,7616.53,5,5,5,555
18172,14,20,7561.68,4,5,5,455
13263,0,35,7436.93,5,5,5,555
12980,157,9,7374.9,2,5,5,255
15465,19,18,7354.62,4,5,5,455
17396,38,8,7330.8,3,5,5,355
12474,16,18,7324.09,4,5,5,455
12583,2,15,7281.38,5,5,5,555
13018,15,28,7277.7,4,5,5,455
18229,11,20,7276.9,5,5,5,555
16729,37,21,7205.33,3,5,5,355
16745,86,17,7180.7,2,5,5,255
16873,4,6,7123.62,5,5,5,555
13324,35,10,7121.95,3,5,5,355
16923,11,19,7069.08,5,5,5,555
13985,3,15,7060.13,5,5,5,555
14961,10,9,7044.68,5,5,5,555
12766,3,7,6989.63,5,5,5,555
12798,9,3,6977.04,5,4,5,545
12989,2,15,6924.11,5,5,5,555
13027,113,6,6912.0,2,5,5,255
16187,31,15,6911.44,4,5,5,455
16713,18,15,6910.78,4,5,5,455
17416,29,7,6893.42,4,5,5,455
12705,14,9,6868.29,4,5,5,455
12476,15,11,6816.42,4,5,5,455
12830,37,6,6814.64,3,5,5,355
15601,10,14,6776.56,5,5,5,555
16652,58,7,6773.97,3,5,5,355
18055,6,10,6761.34,5,5,5,555
16532,17,3,6748.8,4,4,5,445
15023,2,11,6720.41,5,5,5,555
13576,9,18,6717.34,5,5,5,555
15249,31,13,6688.46,4,5,5,455
16746,4,18,6680.11,5,5,5,555
16353,3,23,6675.71,5,5,5,555
12626,22,9,6620.48,4,5,5,455
16182,71,4,6617.65,2,4,5,245
15144,7,17,6580.44,5,5,5,555
12472,31,7,6572.11,4,5,5,455
17338,16,8,6493.54,4,5,5,455
18223,4,14,6484.54,5,5,5,555
15694,0,14,6479.4,5,5,5,555
13225,2,7,6463.84,5,5,5,555
13102,0,24,6424.09,5,5,5,555
12431,35,15,6419.95,3,5,5,355
16814,13,21,6416.7,4,5,5,455
13871,22,13,6403.25,4,5,5,455
12359,57,4,6310.03,3,4,5,345
13668,2,21,6309.83,5,5,5,555
13709,3,13,6307.65,5,5,5,555
15005,15,28,6295.37,4,5,5,455
16126,28,4,6287.77,4,4,5,445
17315,1,38,6281.23,5,5,5,555
14057,23,17,6211.66,4,5,5,455
12357,32,1,6207.67,3,2,5,325
14060,4,19,6140.42,5,5,5,555
